concept_key,canonical_term,learner_id,employee_id,certification_id,certification_name,hr_eligible,lms_claimed_ready,manager_approved,modules_completed,modules_required,labs_completed,labs_required,assessment_score,assessment_passed,truth_certification_ready,false_ready,decision,conflict_reason_count,conflict_reasons,source_systems_compared,evaluated_on
CertificationReady,Certification Ready,L00001,E00001,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,True,True,3,3,1,2,75,False,False,True,false_ready_blocked,2,Required lab missing; Assessment below 80,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00002,E00002,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,False,True,0,3,2,2,67,False,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00003,E00003,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,False,True,1,3,1,2,80,True,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00004,E00004,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,True,False,2,3,1,2,85,True,False,True,false_ready_blocked,3,Required module missing; Required lab missing; Manager approval missing,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00005,E00005,cert-enterprise-ai-safety,Enterprise AI Safety Certification,False,False,True,3,3,1,2,58,False,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00006,E00006,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,True,True,3,3,1,2,81,True,False,True,false_ready_blocked,1,Required lab missing,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00007,E00007,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,True,False,2,3,2,2,94,True,False,True,false_ready_blocked,2,Required module missing; Manager approval missing,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00008,E00008,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,True,True,3,3,2,2,91,True,True,False,certification_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00009,E00009,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,False,True,3,3,2,2,64,False,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00010,E00010,cert-enterprise-ai-safety,Enterprise AI Safety Certification,False,True,True,3,3,1,2,92,True,False,True,false_ready_blocked,2,HR eligibility missing; Required lab missing,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00011,E00011,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,False,True,3,3,2,2,55,False,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
CertificationReady,Certification Ready,L00012,E00012,cert-enterprise-ai-safety,Enterprise AI Safety Certification,True,False,True,2,3,2,2,67,False,False,False,not_ready,0,none,HRIS; LMS; AssessmentPlatform; LabPlatform; ManagerPortal,2026-06-06
